
  Lexeme                    	| Line No 	| Token      	| Value    	| Parent                         	| Is Leaf Node 	| Node Symbol                   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

  _main                     	| 1       	| MAIN       	| ----     	| <mainFunction>                 	| yes          	| ----                          
  [                         	| 1       	| SQO        	| ----     	| <mainFunction>                 	| yes          	| ----                          
  ]                         	| 1       	| SQC        	| ----     	| <mainFunction>                 	| yes          	| ----                          
  int                       	| 2       	| INT        	| ----     	| <type>                         	| yes          	| ----                          
  ----                      	| ----    	| ----       	| ----     	| <declarationStmt>              	| no           	| <type>                        
  a                         	| 2       	| ID         	| ----     	| <var_list>                     	| yes          	| ----                          
  ,                         	| 2       	| COMMA      	| ----     	| <more_ids>                     	| yes          	| ----                          
  b                         	| 2       	| ID         	| ----     	| <var_list>                     	| yes          	| ----                          
  epsilon                   	| -1      	| ----       	| ----     	| <more_ids>                     	| yes          	| ----                          
  ----                      	| ----    	| ----       	| ----     	| <var_list>                     	| no           	| <more_ids>                    
  ----                      	| ----    	| ----       	| ----     	| <more_ids>                     	| no           	| <var_list>                    
  ----                      	| ----    	| ----       	| ----     	| <var_list>                     	| no           	| <more_ids>                    
  ----                      	| ----    	| ----       	| ----     	| <declarationStmt>              	| no           	| <var_list>                    
  ;                         	| 2       	| SEMICOLON  	| ----     	| <declarationStmt>              	| yes          	| ----                          
  ----                      	| ----    	| ----       	| ----     	| <stmt>                         	| no           	| <declarationStmt>             
  ----                      	| ----    	| ----       	| ----     	| <stmtOrFunctionDef>            	| no           	| <stmt>                        
  ----                      	| ----    	| ----       	| ----     	| <stmtsAndFunctionDefs>         	| no           	| <stmtOrFunctionDef>           
  a                         	| 3       	| ID         	| ----     	| <leftHandSide_singleVar>       	| yes          	| ----                          
  ----                      	| ----    	| ----       	| ----     	| <assignmentStmt_type1>         	| no           	| <leftHandSide_singleVar>      
  =                         	| 3       	| ASSIGNOP   	| ----     	| <assignmentStmt_type1>         	| yes          	| ----                          
  3                         	| 3       	| NUM        	| 3        	| <var>                          	| yes          	| ----                          
  ----                      	| ----    	| ----       	| ----     	| <factor>                       	| no           	| <var>                         
  ----                      	| ----    	| ----       	| ----     	| <arithmeticTerm>               	| no           	| <factor>                      
  epsilon                   	| -1      	| ----       	| ----     	| <arithmeticTermOtherPart>      	| yes          	| ----                          
  ----                      	| ----    	| ----       	| ----     	| <arithmeticTerm>               	| no           	| <arithmeticTermOtherPart>     
